epoch,operation,kind,function,message_id,strategy,threshold,total_shards,dispatch_mode,attempted_lanes,acked_lanes,success,conditional_no_censor_success,completion_ms,deadline_ms,blocked_data_packets,blocked_ack_packets,wire_payload_bytes
1,-1001,probe,text,50652857464b4400dc71828be814c0eb,lane_probe,1,1,single,fixed-0,fixed-0,1,1,80.0,5000,0,0,223
1,-1002,probe,text,685d26897748d1fa3a8515fdfea44897,lane_probe,1,1,single,generated-0,generated-0,1,1,130.0,5000,0,0,223
1,-1003,probe,text,8c0b09bb81f6de329c2c744a4203a234,lane_probe,1,1,single,generated-1,generated-1,1,1,140.0,5000,0,0,223
1,-1004,probe,text,f5e499610e9095c972ddea6ab04e2f5b,lane_probe,1,1,single,ephemeral-0,ephemeral-0,1,1,170.0,5000,0,0,223
1,-1005,probe,text,6905369b7a224e875bc735ba03ae98a7,lane_probe,1,1,single,ephemeral-1,ephemeral-1,1,1,180.0,5000,0,0,223
1,10,application,text,4ae96a56a32ee66742bf31acafdf512e,fso,1,2,sequential,generated-1;ephemeral-1,generated-1;ephemeral-1,1,1,140.0,5000,0,0,1278
1,11,application,presence,db7ccfe24569c9bcc291aaca75ccd95a,fso,1,2,sequential,generated-1;ephemeral-1,,0,1,1500,1500,2,0,446
1,12,application,media,ac5b7f0d082af64bcdb7922d6e88d4dc,fso,1,2,sequential,generated-1;ephemeral-1,,0,1,15000,15000,10,0,8646
1,13,application,file,c913b6dfb2288c16f7530291242b703e,fso,1,2,sequential,generated-1;ephemeral-1,,0,1,30000,30000,20,0,17088
1,14,application,realtime,daeb2023273a2cdf7cf513c44d682c00,fso,1,2,parallel,generated-1;ephemeral-1,,0,1,450,450,4,0,2352
1,15,application,text,10b6d66721eb7ff74e9b8f8339b2e37e,fso,1,2,sequential,generated-1;ephemeral-1,,0,1,5000,5000,2,0,1278
1,16,application,presence,ac59fa654046389bbba66a623f38d355,fso,1,2,sequential,generated-1;ephemeral-1,,0,1,1500,1500,2,0,446
