run_id,design_id,censor_model,architecture,seed,auac,t50,t50_observed,attempts,successes,mean_completion_ms,endpoint_burn_rate,path_failures,path_failures_fraction,endpoint_failures,endpoint_failures_fraction,platform_failures,platform_failures_fraction,network_failures,network_failures_fraction,auac_file,auac_media,auac_presence,auac_realtime,auac_text
robustness-000614,design-0010,classifier_dominant,platform_controlled,4307,0.8965277777777777,36,0,1440,1291,1284.1958832892929,0.0,0,0.0,0,0.0,0,0.0,149,0.10347222222222222,0.7777777777777778,1.0,0.9791666666666666,0.7465277777777778,0.9791666666666666
robustness-000615,design-0010,endpoint_discovery_dominant,direct_e2ee,4103,0.7541666666666668,24,1,1440,1086,1314.0349048145067,0.04365079365079365,0,0.0,249,0.17291666666666666,0,0.0,105,0.07291666666666667,0.6388888888888888,0.8611111111111112,0.78125,0.6319444444444444,0.8576388888888888
robustness-000616,design-0010,endpoint_discovery_dominant,direct_e2ee,4201,0.65625,2,1,1440,945,1328.8742229259396,0.07142857142857142,0,0.0,400,0.2777777777777778,0,0.0,95,0.06597222222222222,0.5972222222222222,0.7222222222222222,0.7083333333333334,0.5590277777777778,0.6944444444444444
robustness-000617,design-0010,endpoint_discovery_dominant,direct_e2ee,4307,0.8041666666666666,36,0,1440,1158,1323.623649452378,0.05952380952380952,0,0.0,138,0.09583333333333334,0,0.0,144,0.1,0.6770833333333334,0.9236111111111112,0.8576388888888888,0.6388888888888888,0.9236111111111112
robustness-000618,design-0010,endpoint_discovery_dominant,fixed_proxy,4103,0.3673611111111111,2,1,1440,529,1570.214023256661,0.018518518518518517,0,0.0,856,0.5944444444444444,0,0.0,55,0.03819444444444445,0.3576388888888889,0.4479166666666667,0.3611111111111111,0.2222222222222222,0.4479166666666667
robustness-000619,design-0010,endpoint_discovery_dominant,fixed_proxy,4201,0.5916666666666666,6,1,1440,852,1455.2540578866515,0.037037037037037035,0,0.0,509,0.35347222222222224,0,0.0,79,0.05486111111111111,0.5243055555555556,0.6909722222222222,0.5694444444444444,0.4375,0.7361111111111112
robustness-000620,design-0010,endpoint_discovery_dominant,fixed_proxy,4307,0.6395833333333333,17,1,1440,921,1515.4345482212734,0.034722222222222224,0,0.0,391,0.27152777777777776,0,0.0,128,0.08888888888888889,0.5520833333333334,0.7708333333333334,0.6388888888888888,0.3993055555555556,0.8368055555555556
robustness-000621,design-0010,endpoint_discovery_dominant,generated_transport,4103,0.8541666666666665,36,0,1440,1230,1548.750484273802,0.02441077441077441,0,0.0,69,0.04791666666666667,0,0.0,141,0.09791666666666667,0.7881944444444444,0.9791666666666666,0.9409722222222222,0.6597222222222222,0.9027777777777778
robustness-000622,design-0010,endpoint_discovery_dominant,generated_transport,4201,0.8562499999999998,36,0,1440,1233,1549.4711650194638,0.025252525252525252,0,0.0,58,0.04027777777777778,0,0.0,149,0.10347222222222222,0.8125,0.9548611111111112,0.9409722222222222,0.6631944444444444,0.9097222222222222
robustness-000623,design-0010,endpoint_discovery_dominant,generated_transport,4307,0.8375,36,0,1440,1206,1550.4008476034091,0.010101010101010102,0,0.0,60,0.041666666666666664,0,0.0,174,0.12083333333333333,0.7291666666666666,0.9618055555555556,0.9270833333333334,0.6076388888888888,0.9618055555555556
robustness-000624,design-0010,endpoint_discovery_dominant,ephemeral_relay,4103,0.8486111111111111,36,0,1440,1222,1656.52975232517,0.0029342723004694834,0,0.0,60,0.041666666666666664,0,0.0,158,0.10972222222222222,0.7881944444444444,0.96875,0.9409722222222222,0.6180555555555556,0.9270833333333334
robustness-000625,design-0010,endpoint_discovery_dominant,ephemeral_relay,4201,0.859722222222222,36,0,1440,1238,1657.8639501281273,0.0029342723004694834,0,0.0,35,0.024305555555555556,0,0.0,167,0.11597222222222223,0.8194444444444444,0.9583333333333334,0.9548611111111112,0.6354166666666666,0.9305555555555556
robustness-000626,design-0010,endpoint_discovery_dominant,ephemeral_relay,4307,0.8451388888888888,36,0,1440,1217,1659.309868033923,0.0019561815336463224,0,0.0,31,0.021527777777777778,0,0.0,192,0.13333333333333333,0.7569444444444444,0.9756944444444444,0.9652777777777778,0.5659722222222222,0.9618055555555556
robustness-000627,design-0010,endpoint_discovery_dominant,platform_controlled,4103,0.9173611111111111,36,0,1440,1321,1282.247529059047,0.0,0,0.0,0,0.0,0,0.0,119,0.08263888888888889,0.84375,1.0,0.9826388888888888,0.7951388888888888,0.9652777777777778
robustness-000628,design-0010,endpoint_discovery_dominant,platform_controlled,4201,0.9118055555555556,36,0,1440,1313,1282.888338698468,0.0,0,0.0,0,0.0,0,0.0,127,0.08819444444444445,0.8333333333333334,1.0,0.9791666666666666,0.7951388888888888,0.9513888888888888
robustness-000629,design-0010,endpoint_discovery_dominant,platform_controlled,4307,0.8965277777777777,36,0,1440,1291,1284.1958832892929,0.0,0,0.0,0,0.0,0,0.0,149,0.10347222222222222,0.7777777777777778,1.0,0.9791666666666666,0.7465277777777778,0.9791666666666666
robustness-000630,design-0010,resource_bounded_composed,direct_e2ee,4103,0.8701388888888888,36,0,1440,1253,1335.813663437237,0.07936507936507936,69,0.04791666666666667,1,0.0006944444444444445,0,0.0,117,0.08125,0.7916666666666666,0.9444444444444444,0.9305555555555556,0.7569444444444444,0.9270833333333334
robustness-000631,design-0010,resource_bounded_composed,direct_e2ee,4201,0.7999999999999999,36,0,1440,1152,1353.8866505400317,0.10317460317460317,66,0.04583333333333333,116,0.08055555555555556,0,0.0,106,0.07361111111111111,0.78125,0.8854166666666666,0.8263888888888888,0.6284722222222222,0.8784722222222222
robustness-000632,design-0010,resource_bounded_composed,direct_e2ee,4307,0.8118055555555554,36,0,1440,1169,1324.4853897376681,0.09126984126984126,65,0.04513888888888889,70,0.04861111111111111,0,0.0,136,0.09444444444444444,0.6770833333333334,0.9027777777777778,0.8888888888888888,0.6701388888888888,0.9201388888888888
