packet_index,epoch,operation,kind,function,message_id,lane,shard_index,fragment_part,fragment_total,direction,role,transport,server_ip,server_port,payload_bytes,timestamp_us
56,2,24,application,realtime,cb0e22fe5458672d6e66ec0f952d082e,fixed-0,0,0,2,client_to_server,data,tcp,198.51.100.2,8443,925,211000000
57,2,24,application,realtime,cb0e22fe5458672d6e66ec0f952d082e,fixed-0,0,1,2,client_to_server,data,tcp,198.51.100.2,8443,213,211001000
58,2,24,application,realtime,cb0e22fe5458672d6e66ec0f952d082e,fixed-0,0,0,1,server_to_client,ack,tcp,198.51.100.2,8443,38,211082000
59,2,24,application,realtime,cb0e22fe5458672d6e66ec0f952d082e,ephemeral-0,1,0,2,client_to_server,data,udp,203.0.113.20,8443,925,211000000
60,2,24,application,realtime,cb0e22fe5458672d6e66ec0f952d082e,ephemeral-0,1,1,2,client_to_server,data,udp,203.0.113.20,8443,213,211001000
61,2,24,application,realtime,cb0e22fe5458672d6e66ec0f952d082e,ephemeral-0,1,0,1,server_to_client,ack,udp,203.0.113.20,8443,38,211172000
62,2,25,application,text,48204d3024bd0aa539f72fe51fb5aa78,ephemeral-0,0,0,1,client_to_server,data,udp,203.0.113.20,8443,601,212000000
63,2,25,application,text,48204d3024bd0aa539f72fe51fb5aa78,ephemeral-0,0,0,1,server_to_client,ack,udp,203.0.113.20,8443,38,212171000
64,2,25,application,text,48204d3024bd0aa539f72fe51fb5aa78,ephemeral-1,1,0,1,client_to_server,data,udp,203.0.113.21,8443,601,212000000
65,2,25,application,text,48204d3024bd0aa539f72fe51fb5aa78,ephemeral-1,1,0,1,server_to_client,ack,udp,203.0.113.21,8443,38,212181000
66,2,26,application,presence,2c41a6ef58ac121f01de798fd57c00cd,fixed-0,0,0,1,client_to_server,data,tcp,198.51.100.2,8443,185,213000000
67,2,26,application,presence,2c41a6ef58ac121f01de798fd57c00cd,fixed-0,0,0,1,server_to_client,ack,tcp,198.51.100.2,8443,38,213081000
68,2,26,application,presence,2c41a6ef58ac121f01de798fd57c00cd,ephemeral-0,1,0,1,client_to_server,data,udp,203.0.113.20,8443,185,213000000
69,2,26,application,presence,2c41a6ef58ac121f01de798fd57c00cd,ephemeral-0,1,0,1,server_to_client,ack,udp,203.0.113.20,8443,38,213171000
70,2,27,application,media,e5dba981eb3c94a416c22d1140a0c979,fixed-0,0,0,5,client_to_server,data,tcp,198.51.100.2,8443,925,214000000
71,2,27,application,media,e5dba981eb3c94a416c22d1140a0c979,fixed-0,0,1,5,client_to_server,data,tcp,198.51.100.2,8443,925,214001000
72,2,27,application,media,e5dba981eb3c94a416c22d1140a0c979,fixed-0,0,2,5,client_to_server,data,tcp,198.51.100.2,8443,925,214002000
73,2,27,application,media,e5dba981eb3c94a416c22d1140a0c979,fixed-0,0,3,5,client_to_server,data,tcp,198.51.100.2,8443,925,214003000
74,2,27,application,media,e5dba981eb3c94a416c22d1140a0c979,fixed-0,0,4,5,client_to_server,data,tcp,198.51.100.2,8443,585,214004000
75,2,27,application,media,e5dba981eb3c94a416c22d1140a0c979,fixed-0,0,0,1,server_to_client,ack,tcp,198.51.100.2,8443,38,214085000
76,2,27,application,media,e5dba981eb3c94a416c22d1140a0c979,ephemeral-0,1,0,5,client_to_server,data,udp,203.0.113.20,8443,925,214000000
77,2,27,application,media,e5dba981eb3c94a416c22d1140a0c979,ephemeral-0,1,1,5,client_to_server,data,udp,203.0.113.20,8443,925,214001000
78,2,27,application,media,e5dba981eb3c94a416c22d1140a0c979,ephemeral-0,1,2,5,client_to_server,data,udp,203.0.113.20,8443,925,214002000
79,2,27,application,media,e5dba981eb3c94a416c22d1140a0c979,ephemeral-0,1,3,5,client_to_server,data,udp,203.0.113.20,8443,925,214003000
80,2,27,application,media,e5dba981eb3c94a416c22d1140a0c979,ephemeral-0,1,4,5,client_to_server,data,udp,203.0.113.20,8443,585,214004000
81,2,27,application,media,e5dba981eb3c94a416c22d1140a0c979,ephemeral-0,1,0,1,server_to_client,ack,udp,203.0.113.20,8443,38,214175000
82,2,28,application,file,aee76e80b56598857ae98310c811bd93,fixed-0,0,0,10,client_to_server,data,tcp,198.51.100.2,8443,925,215000000
83,2,28,application,file,aee76e80b56598857ae98310c811bd93,fixed-0,0,1,10,client_to_server,data,tcp,198.51.100.2,8443,925,215001000
84,2,28,application,file,aee76e80b56598857ae98310c811bd93,fixed-0,0,2,10,client_to_server,data,tcp,198.51.100.2,8443,925,215002000
85,2,28,application,file,aee76e80b56598857ae98310c811bd93,fixed-0,0,3,10,client_to_server,data,tcp,198.51.100.2,8443,925,215003000
86,2,28,application,file,aee76e80b56598857ae98310c811bd93,fixed-0,0,4,10,client_to_server,data,tcp,198.51.100.2,8443,925,215004000
87,2,28,application,file,aee76e80b56598857ae98310c811bd93,fixed-0,0,5,10,client_to_server,data,tcp,198.51.100.2,8443,925,215005000
88,2,28,application,file,aee76e80b56598857ae98310c811bd93,fixed-0,0,6,10,client_to_server,data,tcp,198.51.100.2,8443,925,215006000
89,2,28,application,file,aee76e80b56598857ae98310c811bd93,fixed-0,0,7,10,client_to_server,data,tcp,198.51.100.2,8443,925,215007000
90,2,28,application,file,aee76e80b56598857ae98310c811bd93,fixed-0,0,8,10,client_to_server,data,tcp,198.51.100.2,8443,925,215008000
91,2,28,application,file,aee76e80b56598857ae98310c811bd93,fixed-0,0,9,10,client_to_server,data,tcp,198.51.100.2,8443,181,215009000
92,2,28,application,file,aee76e80b56598857ae98310c811bd93,fixed-0,0,0,1,server_to_client,ack,tcp,198.51.100.2,8443,38,215090000
93,2,28,application,file,aee76e80b56598857ae98310c811bd93,ephemeral-0,1,0,10,client_to_server,data,udp,203.0.113.20,8443,925,215000000
94,2,28,application,file,aee76e80b56598857ae98310c811bd93,ephemeral-0,1,1,10,client_to_server,data,udp,203.0.113.20,8443,925,215001000
95,2,28,application,file,aee76e80b56598857ae98310c811bd93,ephemeral-0,1,2,10,client_to_server,data,udp,203.0.113.20,8443,925,215002000
96,2,28,application,file,aee76e80b56598857ae98310c811bd93,ephemeral-0,1,3,10,client_to_server,data,udp,203.0.113.20,8443,925,215003000
97,2,28,application,file,aee76e80b56598857ae98310c811bd93,ephemeral-0,1,4,10,client_to_server,data,udp,203.0.113.20,8443,925,215004000
98,2,28,application,file,aee76e80b56598857ae98310c811bd93,ephemeral-0,1,5,10,client_to_server,data,udp,203.0.113.20,8443,925,215005000
99,2,28,application,file,aee76e80b56598857ae98310c811bd93,ephemeral-0,1,6,10,client_to_server,data,udp,203.0.113.20,8443,925,215006000
100,2,28,application,file,aee76e80b56598857ae98310c811bd93,ephemeral-0,1,7,10,client_to_server,data,udp,203.0.113.20,8443,925,215007000
101,2,28,application,file,aee76e80b56598857ae98310c811bd93,ephemeral-0,1,8,10,client_to_server,data,udp,203.0.113.20,8443,925,215008000
102,2,28,application,file,aee76e80b56598857ae98310c811bd93,ephemeral-0,1,9,10,client_to_server,data,udp,203.0.113.20,8443,181,215009000
103,2,28,application,file,aee76e80b56598857ae98310c811bd93,ephemeral-0,1,0,1,server_to_client,ack,udp,203.0.113.20,8443,38,215180000
104,2,29,application,realtime,cd13e5051004d605e836f56439c74674,fixed-0,0,0,2,client_to_server,data,tcp,198.51.100.2,8443,925,216000000
105,2,29,application,realtime,cd13e5051004d605e836f56439c74674,fixed-0,0,1,2,client_to_server,data,tcp,198.51.100.2,8443,213,216001000
106,2,29,application,realtime,cd13e5051004d605e836f56439c74674,fixed-0,0,0,1,server_to_client,ack,tcp,198.51.100.2,8443,38,216082000
107,2,29,application,realtime,cd13e5051004d605e836f56439c74674,ephemeral-0,1,0,2,client_to_server,data,udp,203.0.113.20,8443,925,216000000
108,2,29,application,realtime,cd13e5051004d605e836f56439c74674,ephemeral-0,1,1,2,client_to_server,data,udp,203.0.113.20,8443,213,216001000
109,2,29,application,realtime,cd13e5051004d605e836f56439c74674,ephemeral-0,1,0,1,server_to_client,ack,udp,203.0.113.20,8443,38,216172000
