packet_index,epoch,operation,kind,function,message_id,lane,shard_index,fragment_part,fragment_total,direction,role,transport,server_ip,server_port,payload_bytes,timestamp_us,censorlab_packet_index,action,blocked
65,0,5,application,text,c375db3638a467d44cf3b6e820a35d73,ephemeral-0,1,0,1,server_to_client,ack,udp,203.0.113.20,8443,38,12171000,66,allow,0
66,0,6,application,presence,20204857d0069eb54bbbd70912e10e77,generated-0,0,0,1,client_to_server,data,tcp,203.0.113.10,8443,185,13000000,67,allow,0
67,0,6,application,presence,20204857d0069eb54bbbd70912e10e77,generated-0,0,0,1,server_to_client,ack,tcp,203.0.113.10,8443,38,13131000,68,allow,0
68,0,6,application,presence,20204857d0069eb54bbbd70912e10e77,ephemeral-0,1,0,1,client_to_server,data,udp,203.0.113.20,8443,185,13000000,69,allow,0
69,0,6,application,presence,20204857d0069eb54bbbd70912e10e77,ephemeral-0,1,0,1,server_to_client,ack,udp,203.0.113.20,8443,38,13171000,70,allow,0
70,0,7,application,media,f24d54d18b909fa4867cba71cc638a52,generated-0,0,0,5,client_to_server,data,tcp,203.0.113.10,8443,925,14000000,71,drop,1
71,0,7,application,media,f24d54d18b909fa4867cba71cc638a52,generated-0,0,1,5,client_to_server,data,tcp,203.0.113.10,8443,925,14001000,72,drop,1
72,0,7,application,media,f24d54d18b909fa4867cba71cc638a52,generated-0,0,2,5,client_to_server,data,tcp,203.0.113.10,8443,925,14002000,73,drop,1
73,0,7,application,media,f24d54d18b909fa4867cba71cc638a52,generated-0,0,3,5,client_to_server,data,tcp,203.0.113.10,8443,925,14003000,74,drop,1
74,0,7,application,media,f24d54d18b909fa4867cba71cc638a52,generated-0,0,4,5,client_to_server,data,tcp,203.0.113.10,8443,585,14004000,75,drop,1
75,0,7,application,media,f24d54d18b909fa4867cba71cc638a52,generated-0,0,0,1,server_to_client,ack,tcp,203.0.113.10,8443,38,14135000,76,drop,1
76,0,7,application,media,f24d54d18b909fa4867cba71cc638a52,ephemeral-0,1,0,5,client_to_server,data,udp,203.0.113.20,8443,925,14000000,77,allow,0
77,0,7,application,media,f24d54d18b909fa4867cba71cc638a52,ephemeral-0,1,1,5,client_to_server,data,udp,203.0.113.20,8443,925,14001000,78,allow,0
78,0,7,application,media,f24d54d18b909fa4867cba71cc638a52,ephemeral-0,1,2,5,client_to_server,data,udp,203.0.113.20,8443,925,14002000,79,allow,0
79,0,7,application,media,f24d54d18b909fa4867cba71cc638a52,ephemeral-0,1,3,5,client_to_server,data,udp,203.0.113.20,8443,925,14003000,80,allow,0
80,0,7,application,media,f24d54d18b909fa4867cba71cc638a52,ephemeral-0,1,4,5,client_to_server,data,udp,203.0.113.20,8443,585,14004000,81,allow,0
81,0,7,application,media,f24d54d18b909fa4867cba71cc638a52,ephemeral-0,1,0,1,server_to_client,ack,udp,203.0.113.20,8443,38,14175000,82,allow,0
82,0,8,application,file,a5b96c7c29f7099d5541591ff794fd7c,generated-0,0,0,10,client_to_server,data,tcp,203.0.113.10,8443,925,15000000,83,drop,1
83,0,8,application,file,a5b96c7c29f7099d5541591ff794fd7c,generated-0,0,1,10,client_to_server,data,tcp,203.0.113.10,8443,925,15001000,84,drop,1
84,0,8,application,file,a5b96c7c29f7099d5541591ff794fd7c,generated-0,0,2,10,client_to_server,data,tcp,203.0.113.10,8443,925,15002000,85,drop,1
85,0,8,application,file,a5b96c7c29f7099d5541591ff794fd7c,generated-0,0,3,10,client_to_server,data,tcp,203.0.113.10,8443,925,15003000,86,drop,1
86,0,8,application,file,a5b96c7c29f7099d5541591ff794fd7c,generated-0,0,4,10,client_to_server,data,tcp,203.0.113.10,8443,925,15004000,87,drop,1
87,0,8,application,file,a5b96c7c29f7099d5541591ff794fd7c,generated-0,0,5,10,client_to_server,data,tcp,203.0.113.10,8443,925,15005000,88,drop,1
88,0,8,application,file,a5b96c7c29f7099d5541591ff794fd7c,generated-0,0,6,10,client_to_server,data,tcp,203.0.113.10,8443,925,15006000,89,drop,1
89,0,8,application,file,a5b96c7c29f7099d5541591ff794fd7c,generated-0,0,7,10,client_to_server,data,tcp,203.0.113.10,8443,925,15007000,90,drop,1
90,0,8,application,file,a5b96c7c29f7099d5541591ff794fd7c,generated-0,0,8,10,client_to_server,data,tcp,203.0.113.10,8443,925,15008000,91,drop,1
91,0,8,application,file,a5b96c7c29f7099d5541591ff794fd7c,generated-0,0,9,10,client_to_server,data,tcp,203.0.113.10,8443,181,15009000,92,drop,1
92,0,8,application,file,a5b96c7c29f7099d5541591ff794fd7c,generated-0,0,0,1,server_to_client,ack,tcp,203.0.113.10,8443,38,15140000,93,drop,1
93,0,8,application,file,a5b96c7c29f7099d5541591ff794fd7c,ephemeral-0,1,0,10,client_to_server,data,udp,203.0.113.20,8443,925,15000000,94,allow,0
94,0,8,application,file,a5b96c7c29f7099d5541591ff794fd7c,ephemeral-0,1,1,10,client_to_server,data,udp,203.0.113.20,8443,925,15001000,95,allow,0
95,0,8,application,file,a5b96c7c29f7099d5541591ff794fd7c,ephemeral-0,1,2,10,client_to_server,data,udp,203.0.113.20,8443,925,15002000,96,allow,0
96,0,8,application,file,a5b96c7c29f7099d5541591ff794fd7c,ephemeral-0,1,3,10,client_to_server,data,udp,203.0.113.20,8443,925,15003000,97,allow,0
97,0,8,application,file,a5b96c7c29f7099d5541591ff794fd7c,ephemeral-0,1,4,10,client_to_server,data,udp,203.0.113.20,8443,925,15004000,98,allow,0
98,0,8,application,file,a5b96c7c29f7099d5541591ff794fd7c,ephemeral-0,1,5,10,client_to_server,data,udp,203.0.113.20,8443,925,15005000,99,allow,0
99,0,8,application,file,a5b96c7c29f7099d5541591ff794fd7c,ephemeral-0,1,6,10,client_to_server,data,udp,203.0.113.20,8443,925,15006000,100,allow,0
100,0,8,application,file,a5b96c7c29f7099d5541591ff794fd7c,ephemeral-0,1,7,10,client_to_server,data,udp,203.0.113.20,8443,925,15007000,101,allow,0
101,0,8,application,file,a5b96c7c29f7099d5541591ff794fd7c,ephemeral-0,1,8,10,client_to_server,data,udp,203.0.113.20,8443,925,15008000,102,allow,0
102,0,8,application,file,a5b96c7c29f7099d5541591ff794fd7c,ephemeral-0,1,9,10,client_to_server,data,udp,203.0.113.20,8443,181,15009000,103,allow,0
103,0,8,application,file,a5b96c7c29f7099d5541591ff794fd7c,ephemeral-0,1,0,1,server_to_client,ack,udp,203.0.113.20,8443,38,15180000,104,allow,0
104,0,9,application,realtime,2895b0e684c3f1031e40f1c4d8d9f722,generated-0,0,0,2,client_to_server,data,tcp,203.0.113.10,8443,925,16000000,105,drop,1
105,0,9,application,realtime,2895b0e684c3f1031e40f1c4d8d9f722,generated-0,0,1,2,client_to_server,data,tcp,203.0.113.10,8443,213,16001000,106,drop,1
106,0,9,application,realtime,2895b0e684c3f1031e40f1c4d8d9f722,generated-0,0,0,1,server_to_client,ack,tcp,203.0.113.10,8443,38,16132000,107,allow,0
107,0,9,application,realtime,2895b0e684c3f1031e40f1c4d8d9f722,ephemeral-0,1,0,2,client_to_server,data,udp,203.0.113.20,8443,925,16000000,108,allow,0
108,0,9,application,realtime,2895b0e684c3f1031e40f1c4d8d9f722,ephemeral-0,1,1,2,client_to_server,data,udp,203.0.113.20,8443,213,16001000,109,allow,0
109,0,9,application,realtime,2895b0e684c3f1031e40f1c4d8d9f722,ephemeral-0,1,0,1,server_to_client,ack,udp,203.0.113.20,8443,38,16172000,110,allow,0
1,1,-1,calibration,calibration,,calibration,-1,0,1,client_to_server,calibration,tcp,198.51.100.1,8443,28,100000000,2,drop,1
2,1,-1000,probe,text,82970dbf8a5b5f457308930f6cd683b4,direct-0,0,0,1,client_to_server,data,tcp,198.51.100.1,8443,185,101000000,3,drop,1
3,1,-1000,probe,text,82970dbf8a5b5f457308930f6cd683b4,direct-0,0,0,1,server_to_client,ack,tcp,198.51.100.1,8443,38,101091000,4,drop,1
4,1,-1001,probe,text,50652857464b4400dc71828be814c0eb,fixed-0,0,0,1,client_to_server,data,tcp,198.51.100.2,8443,185,102000000,5,allow,0
5,1,-1001,probe,text,50652857464b4400dc71828be814c0eb,fixed-0,0,0,1,server_to_client,ack,tcp,198.51.100.2,8443,38,102081000,6,allow,0
6,1,-1002,probe,text,685d26897748d1fa3a8515fdfea44897,generated-0,0,0,1,client_to_server,data,tcp,203.0.113.10,8443,185,103000000,7,allow,0
7,1,-1002,probe,text,685d26897748d1fa3a8515fdfea44897,generated-0,0,0,1,server_to_client,ack,tcp,203.0.113.10,8443,38,103131000,8,allow,0
8,1,-1003,probe,text,8c0b09bb81f6de329c2c744a4203a234,generated-1,0,0,1,client_to_server,data,tcp,203.0.113.11,8443,185,104000000,9,drop,1
9,1,-1003,probe,text,8c0b09bb81f6de329c2c744a4203a234,generated-1,0,0,1,server_to_client,ack,tcp,203.0.113.11,8443,38,104141000,10,drop,1
10,1,-1004,probe,text,f5e499610e9095c972ddea6ab04e2f5b,ephemeral-0,0,0,1,client_to_server,data,udp,203.0.113.20,8443,185,105000000,11,allow,0
11,1,-1004,probe,text,f5e499610e9095c972ddea6ab04e2f5b,ephemeral-0,0,0,1,server_to_client,ack,udp,203.0.113.20,8443,38,105171000,12,allow,0
12,1,-1005,probe,text,6905369b7a224e875bc735ba03ae98a7,ephemeral-1,0,0,1,client_to_server,data,udp,203.0.113.21,8443,185,106000000,13,allow,0
13,1,-1005,probe,text,6905369b7a224e875bc735ba03ae98a7,ephemeral-1,0,0,1,server_to_client,ack,udp,203.0.113.21,8443,38,106181000,14,allow,0
