packet_index,epoch,operation,kind,function,message_id,lane,shard_index,fragment_part,fragment_total,direction,role,transport,server_ip,server_port,payload_bytes,timestamp_us
58,3,34,application,realtime,32177a7b6712271700180a597e703aeb,ephemeral-0,0,0,1,server_to_client,ack,udp,203.0.113.20,8443,38,311172000
59,3,34,application,realtime,32177a7b6712271700180a597e703aeb,ephemeral-1,1,0,2,client_to_server,data,udp,203.0.113.21,8443,925,311000000
60,3,34,application,realtime,32177a7b6712271700180a597e703aeb,ephemeral-1,1,1,2,client_to_server,data,udp,203.0.113.21,8443,213,311001000
61,3,34,application,realtime,32177a7b6712271700180a597e703aeb,ephemeral-1,1,0,1,server_to_client,ack,udp,203.0.113.21,8443,38,311182000
62,3,35,application,text,452ac066e6c985960abf2086a03c7c4f,ephemeral-0,0,0,1,client_to_server,data,udp,203.0.113.20,8443,601,312000000
63,3,35,application,text,452ac066e6c985960abf2086a03c7c4f,ephemeral-0,0,0,1,server_to_client,ack,udp,203.0.113.20,8443,38,312171000
64,3,35,application,text,452ac066e6c985960abf2086a03c7c4f,ephemeral-1,1,0,1,client_to_server,data,udp,203.0.113.21,8443,601,312000000
65,3,35,application,text,452ac066e6c985960abf2086a03c7c4f,ephemeral-1,1,0,1,server_to_client,ack,udp,203.0.113.21,8443,38,312181000
66,3,36,application,presence,1cf594994ec81cbfa9bbc53c3519353b,ephemeral-0,0,0,1,client_to_server,data,udp,203.0.113.20,8443,185,313000000
67,3,36,application,presence,1cf594994ec81cbfa9bbc53c3519353b,ephemeral-0,0,0,1,server_to_client,ack,udp,203.0.113.20,8443,38,313171000
68,3,36,application,presence,1cf594994ec81cbfa9bbc53c3519353b,ephemeral-1,1,0,1,client_to_server,data,udp,203.0.113.21,8443,185,313000000
69,3,36,application,presence,1cf594994ec81cbfa9bbc53c3519353b,ephemeral-1,1,0,1,server_to_client,ack,udp,203.0.113.21,8443,38,313181000
70,3,37,application,media,59d8bd1d511141277ac2d2170b4cd4e2,ephemeral-0,0,0,5,client_to_server,data,udp,203.0.113.20,8443,925,314000000
71,3,37,application,media,59d8bd1d511141277ac2d2170b4cd4e2,ephemeral-0,0,1,5,client_to_server,data,udp,203.0.113.20,8443,925,314001000
72,3,37,application,media,59d8bd1d511141277ac2d2170b4cd4e2,ephemeral-0,0,2,5,client_to_server,data,udp,203.0.113.20,8443,925,314002000
73,3,37,application,media,59d8bd1d511141277ac2d2170b4cd4e2,ephemeral-0,0,3,5,client_to_server,data,udp,203.0.113.20,8443,925,314003000
74,3,37,application,media,59d8bd1d511141277ac2d2170b4cd4e2,ephemeral-0,0,4,5,client_to_server,data,udp,203.0.113.20,8443,585,314004000
75,3,37,application,media,59d8bd1d511141277ac2d2170b4cd4e2,ephemeral-0,0,0,1,server_to_client,ack,udp,203.0.113.20,8443,38,314175000
76,3,37,application,media,59d8bd1d511141277ac2d2170b4cd4e2,ephemeral-1,1,0,5,client_to_server,data,udp,203.0.113.21,8443,925,314000000
77,3,37,application,media,59d8bd1d511141277ac2d2170b4cd4e2,ephemeral-1,1,1,5,client_to_server,data,udp,203.0.113.21,8443,925,314001000
78,3,37,application,media,59d8bd1d511141277ac2d2170b4cd4e2,ephemeral-1,1,2,5,client_to_server,data,udp,203.0.113.21,8443,925,314002000
79,3,37,application,media,59d8bd1d511141277ac2d2170b4cd4e2,ephemeral-1,1,3,5,client_to_server,data,udp,203.0.113.21,8443,925,314003000
80,3,37,application,media,59d8bd1d511141277ac2d2170b4cd4e2,ephemeral-1,1,4,5,client_to_server,data,udp,203.0.113.21,8443,585,314004000
81,3,37,application,media,59d8bd1d511141277ac2d2170b4cd4e2,ephemeral-1,1,0,1,server_to_client,ack,udp,203.0.113.21,8443,38,314185000
82,3,38,application,file,6e4caa513c0afbcd03fea6a8949b2beb,ephemeral-0,0,0,10,client_to_server,data,udp,203.0.113.20,8443,925,315000000
