architecture,architecture_label,censor,network,replicates,auac,auac_ci_low,auac_ci_high,t50,t50_ci_low,t50_ci_high,t50_event_fraction,endpoint_burn_rate,endpoint_burn_rate_ci_low,endpoint_burn_rate_ci_high,mean_tpr,mean_fpr,mean_precision,auac_text,auac_text_ci_low,auac_text_ci_high,auac_media,auac_media_ci_low,auac_media_ci_high,auac_file,auac_file_ci_low,auac_file_ci_high,auac_presence,auac_presence_ci_low,auac_presence_ci_high,auac_realtime,auac_realtime_ci_low,auac_realtime_ci_high
fixed_proxy,Fixed App Proxy,passive_only,mobile,20,0.7347048611111109,0.7046336805555555,0.7605911458333331,36.0,36.0,36.0,0.0,0.0,0.0,0.0,0.17571944444444443,0.001057638888888889,0.371201297009392,0.8160590277777778,0.7839388020833332,0.8465299479166668,0.8119791666666666,0.7749110243055555,0.8460112847222222,0.6925347222222222,0.6616254340277778,0.72283203125,0.8223090277777778,0.7921853298611111,0.8518250868055556,0.5306423611111112,0.5092881944444445,0.5504383680555556
fixed_proxy,Fixed App Proxy,passive_only,stable,20,0.820486111111111,0.7868563368055554,0.8509900173611114,36.0,36.0,36.0,0.0,0.0,0.0,0.0,0.17571944444444443,0.001057638888888889,0.371201297009392,0.8331597222222221,0.8036458333333334,0.8623307291666666,0.8119791666666666,0.7754296875000001,0.8465342881944445,0.7971354166666667,0.7606597222222223,0.8330013020833332,0.8400173611111109,0.8109375,0.8678841145833334,0.820138888888889,0.7852408854166667,0.8530447048611112
fixed_proxy,Fixed App Proxy,path_endpoint,impaired,20,0.14838541666666666,0.11930555555555555,0.18370572916666664,1.5,1.1,1.9,1.0,0.061944444444444434,0.057222222222222216,0.06638888888888887,0.17571944444444443,0.001057638888888889,0.371201297009392,0.29887152777777776,0.2484375,0.35573133680555563,0.22465277777777776,0.1824652777777778,0.2769965277777778,0.10199652777777776,0.07456597222222222,0.13359809027777778,0.11163194444444444,0.08263888888888889,0.15069661458333333,0.004774305555555555,0.003038194444444445,0.006946614583333322
fixed_proxy,Fixed App Proxy,path_endpoint,mobile,20,0.17420138888888895,0.13822873263888888,0.22055772569444443,1.85,1.5,2.2,1.0,0.061944444444444434,0.057499999999999996,0.06611458333333331,0.17571944444444443,0.001057638888888889,0.371201297009392,0.30946180555555547,0.25989149305555553,0.3744791666666666,0.24557291666666664,0.19843750000000002,0.3003580729166666,0.14921875,0.11050347222222223,0.19618272569444445,0.11571180555555553,0.08480902777777778,0.1535742187499999,0.051041666666666666,0.035240885416666666,0.07326388888888888
fixed_proxy,Fixed App Proxy,path_endpoint,stable,20,0.18644097222222222,0.14842621527777775,0.23658246527777776,1.85,1.55,2.2,1.0,0.061944444444444434,0.05736111111111112,0.06638888888888887,0.17571944444444443,0.001057638888888889,0.371201297009392,0.31519097222222225,0.26388237847222223,0.3772699652777777,0.24557291666666664,0.19965060763888887,0.3021744791666666,0.17317708333333331,0.1298589409722222,0.22457031249999995,0.11814236111111112,0.08584852430555556,0.15764105902777775,0.08012152777777778,0.05503472222222222,0.11528862847222217
generated_transport,Generated Transport,adaptive_cross_layer,impaired,20,0.6350694444444446,0.6267703993055557,0.6429865451388891,35.15,33.45,36.0,0.05,0.014732142857142857,0.01314484126984127,0.016269841269841268,0.06433888888888889,0.0008166666666666667,0.2652535780074174,0.8798611111111111,0.8703125,0.888283420138889,0.843923611111111,0.83203125,0.8548611111111113,0.5442708333333333,0.5338541666666667,0.5547764756944443,0.859375,0.8438346354166666,0.8746527777777777,0.04791666666666667,0.04444444444444444,0.051302083333333325
generated_transport,Generated Transport,adaptive_cross_layer,mobile,20,0.8145486111111111,0.8030377604166666,0.8250030381944446,35.15,33.45,36.0,0.05,0.014732142857142857,0.013045634920634921,0.016269841269841268,0.06433888888888889,0.0008166666666666667,0.2652535780074174,0.9110243055555556,0.9023415798611109,0.9186631944444444,0.9234375,0.9122395833333334,0.9334201388888888,0.7862847222222222,0.7737825520833332,0.7993077256944445,0.88828125,0.8728276909722221,0.9033919270833335,0.5637152777777777,0.5466145833333333,0.5797743055555555
generated_transport,Generated Transport,adaptive_cross_layer,stable,20,0.9143402777777778,0.9004509548611113,0.9272777777777776,35.15,33.45,36.0,0.05,0.014732142857142857,0.013143601190476188,0.01626984126984127,0.06433888888888889,0.0008166666666666667,0.2652535780074174,0.9297743055555555,0.92109375,0.937326388888889,0.9234375,0.9128472222222224,0.9329882812500002,0.9107638888888889,0.8965256076388888,0.9235243055555555,0.90859375,0.8918402777777779,0.9240494791666668,0.8991319444444443,0.8746506076388888,0.9224826388888887
generated_transport,Generated Transport,passive_only,impaired,20,0.6475347222222222,0.6381588541666666,0.6560251736111112,36.0,36.0,36.0,0.0,0.0,0.0,0.0,0.06297499999999999,0.0011520833333333335,0.2591656549167493,0.8872395833333334,0.8741319444444444,0.8990451388888889,0.8552951388888888,0.83888671875,0.8688368055555555,0.5556423611111111,0.5429665798611111,0.5676215277777776,0.8914062499999998,0.8794249131944443,0.903474392361111,0.04809027777777777,0.04375,0.05243055555555556
generated_transport,Generated Transport,passive_only,mobile,20,0.8311805555555557,0.8193706597222222,0.8413728298611113,36.0,36.0,36.0,0.0,0.0,0.0,0.0,0.06297499999999999,0.0011520833333333335,0.2591656549167493,0.9180555555555557,0.9051215277777777,0.929513888888889,0.9318576388888887,0.9149283854166667,0.9460069444444443,0.8040798611111111,0.7885416666666668,0.817970920138889,0.9210069444444443,0.9091970486111111,0.9323784722222224,0.5809027777777779,0.5710047743055555,0.5901063368055556
