run_id,seed,architecture,censor,network,layer_mask,auac,t50,t50_observed,endpoint_burns,endpoint_exposure_epochs,endpoint_burn_rate,mean_tpr,mean_fpr,mean_precision,auac_text,auac_media,auac_file,auac_presence,auac_realtime
run-00260,1103,fixed_proxy,path_endpoint,mobile,PE-,0.10590277777777776,2,1,28,360,0.07777777777777778,0.23483333333333334,0.0013750000000000001,0.19766586330755775,0.2222222222222222,0.11458333333333333,0.0920138888888889,0.0763888888888889,0.024305555555555556
run-00261,1201,fixed_proxy,path_endpoint,mobile,PE-,0.29027777777777775,3,1,15,360,0.041666666666666664,0.06972222222222223,0.000125,0.7804511261110129,0.4444444444444444,0.4149305555555556,0.3263888888888889,0.19444444444444445,0.07118055555555555
run-00262,1301,fixed_proxy,path_endpoint,mobile,PE-,0.13993055555555556,2,1,22,360,0.06111111111111111,0.18238888888888888,0.0010277777777777778,0.2377485879088749,0.2725694444444444,0.19618055555555555,0.1111111111111111,0.08680555555555555,0.03298611111111111
run-00263,1429,fixed_proxy,path_endpoint,mobile,PE-,0.13368055555555555,1,1,23,360,0.06388888888888888,0.222,0.0015416666666666669,0.17785830339378583,0.2604166666666667,0.2152777777777778,0.11284722222222222,0.05381944444444445,0.026041666666666668
run-00264,1543,fixed_proxy,path_endpoint,mobile,PE-,0.49097222222222225,3,1,14,360,0.03888888888888889,0.044277777777777784,6.944444444444444e-05,0.8719373132698304,0.7430555555555556,0.625,0.4635416666666667,0.4045138888888889,0.21875
run-00265,1601,fixed_proxy,path_endpoint,mobile,PE-,0.06875,1,1,23,360,0.06388888888888888,0.3575,0.004111111111111111,0.09979929649431195,0.1701388888888889,0.11284722222222222,0.027777777777777776,0.019097222222222224,0.013888888888888888
run-00266,1741,fixed_proxy,path_endpoint,mobile,PE-,0.22083333333333335,3,1,24,360,0.06666666666666667,0.11222222222222222,0.0003333333333333333,0.5794373145249668,0.4305555555555556,0.34375,0.1684027777777778,0.11458333333333333,0.046875
run-00267,1871,fixed_proxy,path_endpoint,mobile,PE-,0.08854166666666667,1,1,24,360,0.06666666666666667,0.24988888888888894,0.0019722222222222224,0.14041882205230974,0.2048611111111111,0.1284722222222222,0.04513888888888889,0.04513888888888889,0.019097222222222224
run-00268,1999,fixed_proxy,path_endpoint,mobile,PE-,0.11145833333333334,1,1,24,360,0.06666666666666667,0.21161111111111108,0.0010694444444444447,0.25297219961661427,0.2048611111111111,0.1736111111111111,0.0920138888888889,0.07118055555555555,0.015625
run-00269,2081,fixed_proxy,path_endpoint,mobile,PE-,0.16736111111111113,1,1,17,360,0.04722222222222222,0.17327777777777778,0.0007777777777777778,0.3579735453936054,0.2482638888888889,0.2309027777777778,0.1736111111111111,0.13368055555555555,0.050347222222222224
run-00270,2203,fixed_proxy,path_endpoint,mobile,PE-,0.21250000000000002,3,1,27,360,0.075,0.14150000000000001,0.0005416666666666668,0.4070429499642248,0.4114583333333333,0.2829861111111111,0.1684027777777778,0.1232638888888889,0.0763888888888889
run-00271,2333,fixed_proxy,path_endpoint,mobile,PE-,0.1767361111111111,2,1,19,360,0.05277777777777778,0.16383333333333336,0.0006805555555555556,0.36896580660235645,0.3402777777777778,0.2465277777777778,0.1684027777777778,0.08506944444444445,0.043402777777777776
run-00272,2441,fixed_proxy,path_endpoint,mobile,PE-,0.15069444444444444,2,1,22,360,0.06111111111111111,0.15233333333333332,0.000763888888888889,0.3262746048206771,0.2361111111111111,0.22569444444444445,0.140625,0.11458333333333333,0.036458333333333336
run-00273,2551,fixed_proxy,path_endpoint,mobile,PE-,0.14930555555555555,2,1,26,360,0.07222222222222222,0.16988888888888887,0.0008333333333333335,0.3093155250117036,0.3055555555555556,0.2326388888888889,0.09895833333333333,0.07465277777777778,0.034722222222222224
run-00274,2683,fixed_proxy,path_endpoint,mobile,PE-,0.0798611111111111,1,1,23,360,0.06388888888888888,0.32405555555555554,0.002611111111111111,0.13552128996064866,0.2013888888888889,0.1076388888888889,0.03993055555555555,0.03993055555555555,0.010416666666666666
run-00275,2791,fixed_proxy,path_endpoint,mobile,PE-,0.1371527777777778,1,1,23,360,0.06388888888888888,0.19527777777777777,0.0011388888888888892,0.21909243774568596,0.2152777777777778,0.20833333333333334,0.11631944444444445,0.10416666666666667,0.041666666666666664
run-00276,2903,fixed_proxy,path_endpoint,mobile,PE-,0.21284722222222222,3,1,22,360,0.06111111111111111,0.09249999999999999,0.00016666666666666666,0.7187913638478427,0.3940972222222222,0.3211805555555556,0.15625,0.13020833333333334,0.0625
run-00277,3011,fixed_proxy,path_endpoint,mobile,PE-,0.2461805555555555,2,1,20,360,0.05555555555555555,0.10094444444444445,0.00025,0.6667148389447273,0.3923611111111111,0.3263888888888889,0.2204861111111111,0.19791666666666666,0.09375
run-00278,3137,fixed_proxy,path_endpoint,mobile,PE-,0.15625000000000003,2,1,26,360,0.07222222222222222,0.1416666666666667,0.0006944444444444446,0.3285289424837758,0.2552083333333333,0.1996527777777778,0.1440972222222222,0.125,0.057291666666666664
run-00279,3251,fixed_proxy,path_endpoint,mobile,PE-,0.14479166666666668,1,1,24,360,0.06666666666666667,0.17466666666666666,0.0010694444444444447,0.24751580873332715,0.2361111111111111,0.2048611111111111,0.11805555555555555,0.11979166666666667,0.04513888888888889
run-00280,1103,fixed_proxy,path_endpoint,impaired,PE-,0.09305555555555554,2,1,28,360,0.07777777777777778,0.23483333333333334,0.0013750000000000001,0.19766586330755775,0.21354166666666666,0.11458333333333333,0.059027777777777776,0.07465277777777778,0.003472222222222222
run-00281,1201,fixed_proxy,path_endpoint,impaired,PE-,0.24583333333333326,3,1,15,360,0.041666666666666664,0.06972222222222223,0.000125,0.7804511261110129,0.4236111111111111,0.3854166666666667,0.22395833333333334,0.1875,0.008680555555555556
